slug,state,suffix,rating,nyt_rating,repProb
predictwise,oh,0,NA,5,0.71
predictwise,ok,0,NA,7,1
predictwise,or,0,NA,1,0
predictwise,pa,0,NA,2,0.06
predictwise,ri,0,NA,1,0
predictwise,sc,0,NA,7,0.99
predictwise,sd,0,NA,7,0.99
predictwise,tn,0,NA,7,1
predictwise,tx,0,NA,7,0.99
predictwise,us,0,NA,2,0.12
predictwise,ut,0,NA,6,0.87
predictwise,va,0,NA,1,0.02
predictwise,vt,0,NA,1,0
predictwise,wa,0,NA,1,0
predictwise,wi,0,NA,1,0.02
predictwise,wv,0,NA,7,1
predictwise,wy,0,NA,7,1
rothenberg,ak,0,currently-safe-republican,7,NA
rothenberg,al,0,currently-safe-republican,7,NA
rothenberg,ar,0,currently-safe-republican,7,NA
rothenberg,az,0,toss-up-tilt-republican,5,NA
rothenberg,ca,0,currently-safe-democrat,1,NA
rothenberg,co,0,democrat-favored,2,NA
rothenberg,ct,0,currently-safe-democrat,1,NA
rothenberg,dc,0,currently-safe-democrat,1,NA
rothenberg,de,0,currently-safe-democrat,1,NA
rothenberg,fl,0,toss-up-tilt-democrat,3,NA
rothenberg,ga,0,lean-republican,5,NA
rothenberg,hi,0,currently-safe-democrat,1,NA
rothenberg,ia,0,toss-up-tilt-republican,5,NA
rothenberg,id,0,currently-safe-republican,7,NA
rothenberg,il,0,currently-safe-democrat,1,NA
rothenberg,in,0,lean-republican,5,NA
rothenberg,ks,0,currently-safe-republican,7,NA
rothenberg,ky,0,currently-safe-republican,7,NA
rothenberg,la,0,currently-safe-republican,7,NA
rothenberg,ma,0,currently-safe-democrat,1,NA
rothenberg,md,0,currently-safe-democrat,1,NA
rothenberg,me-1,1,NA,1,NA
rothenberg,me,0,democrat-favored,2,NA
rothenberg,me-2,2,NA,4,NA
rothenberg,mi,0,lean-democrat,3,NA
rothenberg,mn,0,democrat-favored,2,NA
rothenberg,mo,0,republican-favored,6,NA
rothenberg,ms,0,currently-safe-republican,7,NA
rothenberg,mt,0,currently-safe-republican,7,NA
rothenberg,nc,0,toss-up-tilt-democrat,3,NA
rothenberg,nd,0,currently-safe-republican,7,NA
rothenberg,ne-2,2,NA,4,NA
rothenberg,ne,0,republican-favored,6,NA
rothenberg,ne-1,1,NA,7,NA
rothenberg,ne-3,3,NA,7,NA
rothenberg,nh,0,lean-democrat,3,NA
rothenberg,nj,0,currently-safe-democrat,1,NA
rothenberg,nm,0,currently-safe-democrat,1,NA
rothenberg,nv,0,toss-up-tilt-democrat,3,NA
rothenberg,ny,0,currently-safe-democrat,1,NA
rothenberg,oh,0,pure-toss-up,4,NA
rothenberg,ok,0,currently-safe-republican,7,NA
rothenberg,or,0,currently-safe-democrat,1,NA
rothenberg,pa,0,lean-democrat,3,NA
rothenberg,ri,0,currently-safe-democrat,1,NA
rothenberg,sc,0,currently-safe-republican,7,NA
rothenberg,sd,0,currently-safe-republican,7,NA
rothenberg,tn,0,currently-safe-republican,7,NA
rothenberg,tx,0,currently-safe-republican,7,NA
rothenberg,us,0,NA,3,NA
rothenberg,ut,0,lean-republican,5,NA
rothenberg,va,0,democrat-favored,2,NA
rothenberg,vt,0,currently-safe-democrat,1,NA
rothenberg,wa,0,currently-safe-democrat,1,NA
rothenberg,wi,0,toss-up-tilt-democrat,3,NA
rothenberg,wv,0,currently-safe-republican,7,NA
rothenberg,wy,0,currently-safe-republican,7,NA
sabato,ak,0,Likely R,6,NA
sabato,al,0,Safe R,7,NA
sabato,ar,0,Safe R,7,NA
sabato,az,0,Leans R,5,NA
sabato,ca,0,Safe D,1,NA
sabato,co,0,Likely D,2,NA
sabato,ct,0,Safe D,1,NA
sabato,dc,0,Safe D,1,NA
sabato,de,0,Safe D,1,NA
sabato,fl,0,Leans D,3,NA
sabato,ga,0,Likely R,6,NA
sabato,hi,0,Safe D,1,NA
sabato,ia,0,Leans R,5,NA
sabato,id,0,Safe R,7,NA
sabato,il,0,Safe D,1,NA
sabato,in,0,Safe R,7,NA
sabato,ks,0,Safe R,7,NA
sabato,ky,0,Safe R,7,NA
sabato,la,0,Safe R,7,NA
sabato,ma,0,Safe D,1,NA
sabato,md,0,Safe D,1,NA
sabato,me-1,1,Safe D,1,NA
sabato,me,0,Likely D,2,NA
sabato,me-2,2,Leans R,5,NA
sabato,mi,0,Leans D,3,NA
sabato,mn,0,Likely D,2,NA
sabato,mo,0,Safe R,7,NA
sabato,ms,0,Safe R,7,NA
sabato,mt,0,Safe R,7,NA
sabato,nc,0,Leans D,3,NA
sabato,nd,0,Safe R,7,NA
sabato,ne-2,2,Leans R,5,NA
sabato,ne,0,Safe R,7,NA
sabato,ne-1,1,Safe R,7,NA
sabato,ne-3,3,Safe R,7,NA
sabato,nh,0,Leans D,3,NA
sabato,nj,0,Safe D,1,NA
sabato,nm,0,Likely D,2,NA
sabato,nv,0,Leans D,3,NA
sabato,ny,0,Safe D,1,NA
sabato,oh,0,Leans R,5,NA
sabato,ok,0,Safe R,7,NA
sabato,or,0,Safe D,1,NA
sabato,pa,0,Leans D,3,NA
sabato,ri,0,Safe D,1,NA
sabato,sc,0,Safe R,7,NA
sabato,sd,0,Safe R,7,NA
sabato,tn,0,Safe R,7,NA
sabato,tx,0,Safe R,7,NA
sabato,us,0,NA,3,NA
sabato,ut,0,Leans R,5,NA
sabato,va,0,Likely D,2,NA
sabato,vt,0,Safe D,1,NA
sabato,wa,0,Safe D,1,NA
sabato,wi,0,Likely D,2,NA
sabato,wv,0,Safe R,7,NA
sabato,wy,0,Safe R,7,NA
